Nombre;Raza;Pagina;HBA;RP;Peso_Nacer_kg;Peso_Destete_kg;Peso_Año_kg;Peso_Maduro_kg;Circ_Escrotal_cm;Criador;Propietario
MAXIMO;Angus Negro;31;907821;1945;40;270;566;;42;Cab. La Esencia;Select Debernardi / Cab. El Tata
DRAGON;Angus Negro;75;879930;E270;27;;645;850;41;Casamu SA;Select Debernardi / Cab. La Esencia
